                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8666,                 3.9354,                 1.4063,                0.00742,                0.16667,                0.00625,                0.00185,                 3.1996,                  8.437,                 1.9387,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.7396,                 3.9029,                 1.2983,                0.07321,                0.16667,                0.02207,                0.00475,                 3.0655,                 4.9121,                 1.9707,             0.00013861,             0.00013861,             0.00013861
                      3,                 1.4426,                 2.0769,                 1.1342,                0.98827,                    0.5,                0.54939,                0.23688,                 2.4024,                 1.8639,                  1.535,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.2199,                 1.1441,                 1.0547,                 0.9332,                0.33333,                0.50234,                0.14266,                 2.5888,                 2.4373,                 1.5926,             0.00029109,             0.00029109,             0.00029109
                      5,                 1.1743,                0.99013,                 1.0376,                      1,                0.65509,                 0.8737,                0.23803,                 2.4689,                 1.6489,                 1.5283,             0.00036495,             0.00036495,             0.00036495
                      6,                 1.1403,                0.86946,                 1.0285,                 0.6487,                      1,                0.85286,                0.35069,                 2.0861,                 3.8224,                 1.5086,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.0648,                0.86886,                 1.0263,                 0.1085,                      1,                0.11706,                 0.0526,                 2.0571,                 9.7639,                 1.5274,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.1263,                0.69428,                 1.0216,                0.05105,                    0.5,                0.06695,                0.03077,                 1.8971,                 17.004,                 1.4718,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.1586,                0.64811,                  1.021,                0.07381,                    0.5,                0.05711,                0.02634,                 2.0681,                 17.721,                 1.5423,             0.00064456,             0.00064456,             0.00064456
                     10,                   1.07,                0.74887,                 1.0599,                0.11766,                    0.5,                0.23413,                0.12917,                 2.1918,                 7.0951,                 1.5507,              0.0007105,              0.0007105,              0.0007105
                     11,                 1.1159,                0.74901,                 1.1099,                0.52299,                    0.5,                0.59126,                0.20582,                 2.3652,                 5.0114,                  1.746,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.2014,                0.68125,                 1.0751,                0.79488,                0.33333,                0.33549,                0.15076,                 2.6942,                 5.7664,                  1.907,             0.00083763,             0.00083763,             0.00083763
                     13,                 1.1893,                0.71701,                 1.0743,                0.94374,                0.16667,                0.16616,                0.06646,                 2.7516,                  4.154,                 1.9719,             0.00089882,             0.00089882,             0.00089882
